,School Name,School Address,School Phone,affiliation
1385,Manav Sthali Public School,"Sohnag Road, Salempur, :( U. P. )...",05566221090,CSEB
1386,Nav Jeevan Mission School,Ashishnagar Salempur Road...,05568220146,CSEB
1387,Oriental Institute Senior Secondary School,Amethi Khora Ram Road...,09235463797,CSEB
1388,P.D. Academy,"C.C. Road, Katarari Mour, Deoria, Uttar Prad...",+91 9454224357,CSEB
1389,R B T Vidyalaya,"Village-Gadpurva, Post-G. I. State...",05568-223452,CSEB
1390,Raghukul Academy,"Gram-Bangrau, Post-Pratappur...",05566-285087,CSEB
1391,Saraswati Senior Secondary Vidya Mandir,Deoria Khas...,05568-213214,CSEB
1392,St. Paul Public School,"Teachers Colony, Salempur, Deia, U. P...",05566220164,CSEB
1393,St. Xavier's School,"Ward #5, Bhathawa Dharampur, Salempur, U. P...","05566220051, 220751",CSEB
1394,Sunbeam School,"Sonda ( East ) Salempur Road, Deia...","05568 224158 , 09721453269",CSEB
1395,Delhi Public School,NH-2 Agra Road...,05688-256444,CSEB
1396,Divine Light Public Inter College,"Near Government Polytechnic, Agra Bypass Road...",09412492416,CSEB
1397,Gyan Sthali Academy,Katra Shamsher Khanup...,"05876 72840 , 9219401731",CSEB
1398,Holy Point Academy,Seehpur Bharthana...,"05680 223298 , 225594 09219269282",CSEB
1399,Jawahar Navodaya Vidyalaya,Civil Lines...,"05414 864820 , 40231",CSEB
1400,Kendriya Vidyalaya,Ethawah...,"05688 258600 , 9415781605",CSEB
1401,Kids Valley School,Kids Valley School Village Basrehar & Post Ba...,05688-689804,CSEB
1402,Lord Mother Public School,Shashtri Nagar Bakewarup...,"0494 05680223556 , 04884232581",CSEB
1403,Mount Litera Zee School,Sai City (Udaypura) Farrukhabad Road NH92 Eta...,05688215776,CSEB
1404,Narayan College of Science and ARTS,"Alampur Hauz, Agra Road ( U. P. ) 206002...",05688-250333,CSEB
1405,Police Modern School,Reserve Police Linesup...,"05688 259436 , 05688-263783",CSEB
1406,Royal Oxford International School,Ramleela Road Etawah...,9759877777,CSEB
1407,S S Memorial Pub School,Safai...,"05668 276022 , 276023",CSEB
1408,Saint Kewalanand Public School,"Near Victor Public Degree College, Bihuna Roa...",05680-225081,CSEB
1409,Seven Hills,"Behind Guru Nanak COld Storage, Pakka Bagh...",05688215554,CSEB
1410,St. Peter's School,"Kesth P. O., Jaswanthnagar, U. P...","044 05688-262412, 09412457562 , 044-24724790",CSEB
1411,St. Vivekanand Public School,Alampur Hauz Sarai Essar Agra Road...,"05688 258999 , 259555 252122",CSEB
1412,Suditi Global Academy,"Vicharpur, Agra Bye Pass, Etawah, Uttar Prade...","05688-215333,215300",CSEB
1413,Suditi Global Academy,"Village-Nagla Lallu, Fulrai Post-Dhanuan...",05688-210412,CSEB
1414,Theosophical Inter College,S. D. Fields...,"255234 , 257375 257375",CSEB
1415,A P Public School,"Kampil Road, Kaimganj...",05690-230077,CSEB
1416,Army School,Fatehgarh Cantt...,"0551 36450 , 0120-2451061",CSEB
1417,Blue Bell DR Ram Tirth Dube,Memorial School 15 Centonment Fatehgarh...,"05692 235002 , 234130",CSEB
1418,City Public School,Nekpur Chaurasi Fatehgarh...,"05692 240221 , 05692",CSEB
1419,DR. Virendra Swarup Education Centre,"Ghatia Ghat Road, Chandpur, Furrukhabad...","02522 5692-241994 , 02522-230162",CSEB
1420,Jawahar Navodaya Vidyalaya,Rohillamaugate...,"02997 62223 , 836",CSEB
1421,JSM Public School,"Bankhadia, Fatehgarh...",09044666453,CSEB
1422,Kendriya Vidyalaya,Rajput Regimental Centre Fatehgarh...,"0532 293 , 05322420697",CSEB
1423,Rajputana Public School,"Jahanganj Road, Baghar, Fatehgarh...",0631 09305637463,CSEB
1424,Red Rose Education Centre,"Amethi Kohna, Ghatia Ghat Road ( Up ) - 20962...",,CSEB
1425,Rosy Public School,"P. W. D. Road, Fatehgarh...","05692 05692-234149 , 05692-235010",CSEB
1426,St Lawrance Public School,Near Iti Chauraha Syamnagar...,05692 227228,CSEB
1427,St. Anthony's Senior Secondary School,Fatehgarh Cantt...,05692 234682,CSEB
1428,The Jaipuria School,"Pre-Primary Wing -
17-18, 2B/101. In Front o...",0562211300,CSEB
1429,Gyan Mata Vidya Vihar Senior Secondary School,"Near Airport, Kamta Road, Nasratpur...","02462 - 206505, 0721 02462252350 , 27212888",CSEB
1430,Hizon Discovery Academy,"Beside Srtm University, Off Latur Road, Vishn...",08380068354,CSEB
1431,Jawahar Navodaya Vidyalaya,Shankar Nagar Tal-Biloli...,"02465 68244 , 68244",CSEB
1432,Kendriya Vidyalaya,Crpf Mudkhed District Tmahrashtra...,"04862 75588 , 75453",CSEB
1433,Kendriya Vidyalaya,"Scr Nanded, D. R. M Campus, Airport Road, P. ...",02462 221015,CSEB
1434,Kids Kingdom Public School,"Gut #100, At Khurgaon, Nandus Road, Malegaon ...",0724 02462-234924,CSEB
1435,Nagarjuna Public School,"Gowardhan Ghat Bridge Road, Nanded, Maharasht...",+91 2462 202166,CSEB
1436,Oxford International School,"Survey #76, Pawde Wadi Road...","02462-266333, 266344",CSEB
1437,Podar International School,"Shantai Park, Seven Hills, Purna Road, wadi (...","01907 02461-264508 , 01832210230",CSEB
1438,Achievers Heights International School,195/1 Old Mohida Road Shahada...,02565227600,CSEB
1439,DG Agrawal Memorial National Public School,At : Varadipada Post : Chinchpada Tal. Navapu...,02569243258,CSEB
1440,Jawahar Navodaya Vidyalaya,Akkalkuwa...,"02567 52260 , 24164",CSEB
1441,Jawahar Navodaya Vidyalaya,( Temp. Running in Old Jnv Building ) Akkalku...,"02567 252252 , 09405159278",CSEB
1442,Kanaiyalal Raojibhai Public School,"Pratibha Nagar, Chaupale...",02564-226875,CSEB
1443,Podar International School,"Near Hira Garden, Next To Sindhi Colony, Talo...",07798887929,CSEB
1444,Shri Mahavir English Medium School,"Dongargaon Road, Shahada...","0712 02565223755 , 33663",CSEB
1445,Shri P. G. Public School,Chaupale...,"02527 09371422333 , 220650",CSEB
1446,SMT. Savitaben Mangaldas Chokhawala Little Angels Academy,"Behind Sarvajanik Gujarati High School, Near ...",02569250731,CSEB
1447,Flying Kids International English School C.b.s.e.pattern,"Jadhavwadi Road, Near K. T. Patil College of ...",02472-223378,CSEB
1448,Jawahar Navodaya Vidyalaya,Tuljapur Naldurg Road Tuljapur Osmababad...,"02471 42081 , 42081",CSEB
1449,Terna Public School,"Terna Public School, Ghugadi Campus, Maharast...",02472 228621,CSEB
1450,Vagad Global School,"Near Ramkrishna Mission Hospital,National Hi...",,CSEB
1451,Akshara Vidyaashram,11 Beach Road...,Principal's Office: 04142-291297,CSEB
1452,Aristo Public School,"APS Avenue, Gedilam Bypass Road, Thirupathiri...","03192 04142 -322779 , 03192236175",CSEB
1453,Athena Global School,Thunisiramedu T. Neduncheri Road Veerasozhaga...,04144 - 291234 / 292233,CSEB
1454,Edison G Agoram Memorial School,Manalur Keerapalayanychidambaram T. K...,"011 27611520 , 2554653",CSEB
1455,Eternal Light Public School,"Survey #244/1 B, Thiruveka Nagar, Muthanahall...",04348-232532,CSEB
1456,Jawahar Higher Secondary School,Block-17 Neyveli South Arcot District...,04142 256650,CSEB
1457,Kendriya Vidyalaya,"Nlc, Block-3, Neyveli Township, Neyveli, Dist...","04142 255234 , 422580",CSEB
1458,Krishnaswamy Vidyanikethan,"Maruthadu Road, S. Kumarapuram...",04142346394,CSEB
1459,KSR Hitech School,Periyar Nagar Byepass Road ( Near Rto Office ...,04143 291001,CSEB
1460,Mahatma Gandhi International School,Reddychavady Taluk P. O. Singrigudi...,"0413 4205301 , 4205401",CSEB
1461,Oxford English School,"Mutlur Bypass Road, Thillainayagapuram, Near ...","04144-294324, 9943391262",CSEB
1462,Prime International School,"Prime Nagar, Salem Main Road, Sirunesalur Vil...",04143241777,CSEB
1463,Sbg Vidhyalaya,"Thenpathy, Kattumannarkoil Taluk, Srimushnam...",04144245088,CSEB
1464,St.paul Public School,"39/2, Kumbakonam Main Road, Panikankuppam, Pa...",9444114059,CSEB
1465,Achyuta Academy School,"Thadicombu Road, Kurumbapatti Village, T., Ta...",04516451133,CSEB
1466,Akshaya Academy CBSE School,"Puthuchatram Post, Oddanchatram...","03192 04553-241996, 241997 , 03192236175",CSEB
1467,Akshaya Academy Cbse School,"Opposite To Travellers Bungalow, Road, Palani...","03192 04545241166 , 03192236175",CSEB
1468,Bhavan's Gandhi Vidyashram,P. B. #9 Golf Club Road Kodaikanal...,"04542 243972 , 43972 243498",CSEB
1469,Gurumuki Vidhyasshram School,"S. Nos. 1395, Pudhu Kappiliyapatti-Thadikombu...",9150154566,CSEB
1470,Hillock International School,"Maharishi Gardens, Sirumalai, Dindigul, Tamil...",+91 451-2558333,CSEB
1471,Kendriya Vidyalaya,"G. R. U. Campus, Gandhigram, Dindigul, Tamil ...","0451-2913565, 2913585",CSEB
1472,OM Shanthi Higher Secondary School,"Near Mvm Girls Arts & Science College, Thandi...","0451-2435500, 2430634",CSEB
1473,Parvathys Anugrahaa International School,"Wisdom City, Maduari Main Road...",0451 2490052,CSEB
1474,Prasiddhi Vidyodaya,"Karur Road, Seelapadai, Dindigul, Tamil Nadu ...",+91 4513293292,CSEB
1475,Shri Maharishi Vidya Mandir,"Maharishi Gardens, Seelapadi Post, Dindigul -...",,CSEB
1476,Soundararaja Vidyalaya,"Natham Road, Dindigul, Tamil Nadu - 624003...",+91 451 2471700,CSEB
1477,SSM Academy,"Akkaraipatti, Sinthalagundu Post...","0451-3205111, 2 448 811 / 3 206 111",CSEB
1478,St. Peters International School,"Pambarpuram
Kodaikanal, 
Dindigul, Tamil Na...","04542 -240743, 240543, 242443",CSEB
1479,Vivekanandar Vidhya Mandir,"Vedasandur Road, Navamarathupatty Sullerumbu ...",04551-294 278,CSEB
1480,Adarsh Vidya Kendra,Poineer Compound Vetturnimadam Nagercoil...,"04652 232354 , 237683",CSEB
1481,Amrita Vidyalayam,"Amritapuram, Saravantheri Vilai
Agastheswara...",04652 270700,CSEB
1482,Gnana Vidya Mandir,"Keelakattuvilai, Madhusudhanapuram Village, M...",04652 - 286437,CSEB
1483,Hildas Public School,41 Water Tank Road Nagercoil Tamilnadu...,"04652 32262 , 31970",CSEB
1484,Kendriya Vidyalaya,"Nagercoil, Konam ( P. O. ), T., Tamilnadu...",04652 260100,CSEB
1485,N V K S Higher Secondary School,Attor...,"04651 70125 , 70882 70125",CSEB
1486,Narayanapillai Memorial Vidya Kendra,"Chitharal & Post, Tamilnadu...",04651287039,CSEB
1487,Rajas International School,Ozuginasery Nagercoil...,"04652-277087, 276365",CSEB
1488,Smr National School,"Lotus Park, Cherupaloor P. O, Kulasekharam...",04651277740,CSEB
1489,St. Joseph Calasanz School,Sahayamatha Street Agasteeswaram...,04652 248323,CSEB
1490,The Pioneer School,"M. S. Road, Vetturnimadam...","07324 94431-40124 , 272313",CSEB
1491,Bharani Vidhyalaya,"Bharani Gardens, Salem Byepass Road, Vennaima...","0181 04324221109 , 2758565",CSEB
1492,Chettinad Vidya Mandir,"Chettipalayam, Puliyur C. F. Post...","04324 251977 , 603228",CSEB
1493,Pon Vidya Mandir,"Sf #175, NH-7, Manmangalam...","0522 04324237755 , 257256",CSEB
1494,Sri Sankara Vidyalayaa,"S. F. #2347, 2348 & 2349 Andankovil East Vill...",919600941191,CSEB
1495,Star School,Covai Main Road Andankoiltamilnadu-639002...,04324225685,CSEB
1496,The Indian Public School,"371/1 & 379/1, Pazhamapuram, Poolampalayam Po...",04324652222,CSEB
1497,TNPL Public School,"Kagithapuram,
Manmaglam,
Karur, Tamilnadu -...","04324-275046, 275046",CSEB
1498,Velammal Vidyalaya School,"Velammal Avenue, Kakavadi Village...",04324293333,CSEB
1499,Zee Litera Valley School,"Survey #301, Village : Kandamban Kuruchi, Zee...",04324 288289,CSEB
1500,Siddarth Village School,Madivalam Nallur P. O. Hosur Dharmpuvi...,"04344 246634 , 243524",CSEB
1501,Sishya School,Thally Road Hosur...,"04344 43668 , 43669 20760",CSEB
1502,The Titan School,Titan Township Mathigiri Hcf Post Hosur...,04344 222640,CSEB
1503,Adhyapana School,"Visthara, Beyond Fatima Collegedindugal Main ...",9994368914,CSEB
1504,K.c. Vidyalayam,"Madurai-Aruppukottai Road, Near T. V. R. Naga...","0452-2090091, 9629933933, 9629977577",CSEB
1505,Kendriya Vidyalaya,Narimedu P. O...,"0452 531361 , 531361",CSEB
1506,Kendriya Vidyalaya No 2,"Avaniyapuram Road, Thirupparankundram, Tamiln...","0452 2380374 , 2383338",CSEB
1507,Keren Public School,"K. Puliyankulam, Checkanurani...",9282521184,CSEB
1508,KMR International school,"4-Way Track Road, Near Achampathu...",0452-2092114,CSEB
1509,Maharishi Vidya Mandir,"Kovilpapakudi Main Road, Near Koodal Nagar, K...",7708066567,CSEB
1510,Mahatma Montessori School,"Parent-Teacher Road, Gopalakrishnan Nagar...",008135 0452-6456904,CSEB
1511,Mary Matha Cmi Public School,"Cmi Centreroad, Theni...","04546260232,255127",CSEB
1512,Mount Litera Zee School,"1/132, Nagari-Sholavandan Road, Sholavandan, ...",04524392192,CSEB
1513,OM Sadhana Central School,"T. P. M. Nagar, Theni Main Road, Virattipathu...",0452 2389799,CSEB
1514,Pandugudi Sri Lakshmi Narayana Vidyalaya,"A. Valayapatti, Alagarkoil Road...",0452-3241664,CSEB
1515,Queen Mira International School,"Aravindar Nagar, Melakkal Main Road, Kochadai...","0452 - 2383876 , 2383878",CSEB
1516,Swami Vivekananda Vidyamandir,"72, Harveypatti Thirupparankundram...",0452 2485685,CSEB
1517,Thaai School,"Union Office Road, T. Vadipatti...",04543 254419,CSEB
1518,Velammal Residential School,"Ladanendal, Thiruppuvanam Taluk, Sivagangai D...",04574 - 264364,CSEB
1519,Velammal Vidyalaya,"Velammal Villagetuticin Highways, Anuppanadi...",04522090606,CSEB
1520,Velammal Vidyalaya,Penny Cuic Gardens Muthuthevanpatti Theni-Kum...,04546264217,CSEB
1521,Velammal Vidyalaya,"Velammal Nagarrameshwaram High Road, Viragano...",0452 - 2465011,CSEB
1522,AJC Public School,#1 Raja Nagar Saveriar Kovil Tsunami Quarters...,08903009049,CSEB
1523,Alagu Jothi Academy,"Poompuhur Main Road, #3, Melaiyur, Karuvazhak...",04364-281212,CSEB
1524,Amrita Vidyalayam,"Vadakudi Road, Collectorate Post...","0495 04365-252025,252026",CSEB
1525,Chinmaya Vidyalaya,Vaira Maligai Kadambady...,"04365 248040 , 242855 04742061964",CSEB
1526,Everest Kenbridge School,"Maraiyur Road, Sitharkadu, Mayiladuthurai...",917200000055,CSEB
1527,Good Samaritan Public School,"Thenpathy Sirkali, Tamilnadu...",04364272959,CSEB
1528,Ideal School,"Msj Garden, West Street, Ammakullam, Nalluthu...",04364-225323,CSEB
1529,Point Calimere International School,"41, Melakadu, Kuruvapalam, Vedaranyam Tk...",04369-278883,CSEB
1530,St Michaels Academy,"41 South Street Karuvelangadai, Tamilnadu...",04365221090,CSEB
1531,Army School,Wellington...,"0423 2234538 , 9894034538",CSEB
1532,Breek's All India Secondary School,Ootacamund...,"0423 442091 , 442761 445633",CSEB
1533,Christus Rex Higher Secondary School,Post Box #45st. Mary's Hill Ootacamund The...,"0423 442064 , 443340 446354",CSEB
1534,J S S Public School,Post Box #75 Fernhill Post Ootacomand...,"0423 2445041 , 445138 2442520",CSEB
1535,Kendriya Vidyalaya,Aruvankadu Nilgiri...,"0423 30932 , 30932",CSEB
1536,Kendriya Vidyalaya,H. P. F Indu Nagar Ootacamund The...,"0423 42903 , 42903",CSEB
1537,Kendriya Vidyalaya,Wellington Hall The...,"0423 34797 , 33078",CSEB
1538,Kotagiri Public School,Post Box #2 Karunyapuram Kotagiri...,"04266 71775 , 71755 73165",CSEB
1539,Morning Star Higher Secondary School,Gudalur...,"04262 61028 , 63838 61231",CSEB
1540,Sister Alphonsa School,Kundah Bridge Post The Niligiris...,"0423 2509993 , 0423-2509231",CSEB
1541,The Lawrence School,Lovedale Ootacamund The...,"0423 2442550 , 2440226",CSEB
1542,Woodside School,Woodside Ootacamund The...,"0423 2441703 , 443707 0423 2442686",CSEB
1543,Kendriya Vidyalaya,"Madhanagopalapuram, Tamilnadu...","04328 277900 , 09486862008",CSEB
1544,Sri Ramakrishna Public School,"Sri Ramakrishna Nager Venkatakrishnapuram, Ar...",04329-293227,CSEB
1545,The Aditya Birla Public School,Reddipalayam P. O. Ariyalur Tk...,"04329 249238 , 249351",CSEB
1546,Vidya Mandir School,Thamaraikulam Sendurai Road...,"0477 04329-226001 , 2282736",CSEB
1547,Doctors Public School,Melappattu Aranthangi...,04371270765,CSEB
1548,Maharishi Vidya Mandir,"Sri Rajarajeshwari Township, Malaikkudipatti ...","009671 9566164444 , 734001453",CSEB
1549,Mai Skool,"Vagavasal Village, Pudukkottai Taluk...","0484 04322-221866 , 8233808",CSEB
1550,Mount Zion International School,"Lena Vilakku, Pilivilam ( Post ), Thirumayam ...",917373069009,CSEB
1551,Sacred Heart School,Mathur. P. O. Pudukittai. District. Pin. 6225...,09786655983,CSEB
1552,Sudharsan Vidhya Vikas,Perumanadu Village...,04322 236777,CSEB
1553,Vidyaa Vikas International School,"Old Gandarvakottai, Gandarvakottai ( Tk )&( P...",04322275779,CSEB
1554,ABCS Kenbridge School,"Trichy Rameswaram Main Road, Naranamangalam P...",09486776026,CSEB
1555,Chellappan Vidya Mandir,"O. Siruvayal Road, Kalanivasal, Karaikudi...","044 04565234448 , 42113894",CSEB
1556,Kendriya Vidyalaya,"CMFRI, Marine Fisheries Post, Mandapam Camp,...","04573  241461, 241461",CSEB
1557,Kendriya Vidyalaya,"#38/a, Varthagan Street, Rameswaram, Ramnathp...","04573 221909 , 82429",CSEB
1558,Bhaarath Public Cbse School,"Amaravathi Pudhur-Aaravayal Main Road, Near K...",09245405915,CSEB
1559,Chettinad Public School,"70 E, Madurai Main Road. Managiri. Karaikudi...","009671 04565 - 238444 , 734001453",CSEB
1560,Kendriya Vidyalaya,C. E. C. R. I Campus Karaikudi P. Muthuramali...,"04565 22596 , 38277",CSEB
1561,Kendriya Vidyalaya,"Srinivasa Nagar, Panangadi Road, Tamilnadu...",04575 246754,CSEB
1562,Nehruji Central Higher Secondary School,"10/3 I Melur Main Road, Idayameluri District...",04575 237261,CSEB
1563,Shree Raaja Rajan School,"#1, Skm Building, T. T. Nagar Ist Street, Kar...",04565-225121,CSEB
1564,The Leaders Academy,"Kadambavanam Village, Thiruvelangudi, Sooraku...",255888,CSEB
1565,A J C English School,Lal Bahadur Shastri Road Kumbakonam...,"0435 2420730 , 2428647",CSEB
1566,Blossom Public School,"Keelavastha Chavady, Pattuikottai Road...",04362276276,CSEB
1567,Brilliant School,"Survey #38/15, 38/11 A Adirampattinam Road, P...",04373241551,CSEB
1568,DR.G.S.kalyanasundaram Memorial School,"Patteeswaram Road, Chozhan Maligai, Kumbakona...","080 0435 2417692 , 23805387,9975181225",CSEB
1569,Kendriya Vidyalaya,Afs Pudukkottai Road Mela Vastha Chavadi P O...,"04362 226868 , 2438971",CSEB
1570,Laurel Secondary School,"Pallikondn, Maliakadu Post, Pattukkottal, Tan...","0161 04373235723 , -",CSEB
1571,Maharishi Vidya Mandir,7th Cross TPS Nagar...,04362279661,CSEB
1572,National Vidyalaya,Melacauveri P. O. Chennai Road Kumbakonam...,"0435 2443747 , 429747",CSEB
1573,Ponnaiyah Ramajayam Public School.,"187/3, 4 & 8, Valayapettai, Darasuram By-Pass...",0435-2417014,CSEB
1574,Thamarai International School,Karunthattankudai P. Okumbakonam Bypass Road...,04362 316785,CSEB
1575,Fairlands A Foundation School,Oothukaadu Road C. Pudupatti...,04554292281,CSEB
1576,The Spice Valley Public School,"New Colony, Bodinayakanur, Vaigain Veeran Ala...",04546 283310,CSEB
1577,Theni Kammavar Sangam Public School,"Theni Kammavar Sangam Public School, Kammavar...","0591 04546250088 , 2436125",CSEB
1578,A++ National School,"Arivoli Nagar, Thirunalveli Road Thiruchendur...",04639 223344,CSEB
1579,Achariya School,"3/185-1, Muthumariamman Kovil Road...",04632 248689,CSEB
1580,Alagar Public School,"4/42/3, Muthammal Colony Extension...",0461-2347300,CSEB
1581,Edustar International School,"Edustar Village, New Town, Inam Maniyachi-Vil...",04632226604,CSEB
1582,Good Shepherd Model School,3 B Opposite To Collectrate Perianayaki Puram...,0461 2340095,CSEB
1583,Kamalavati Higher Secondary School,Sahupuram Arumuganeri Tuticorin...,"04639 80227 , 45803",CSEB
1584,Shakti Vinayakar Hindu Vidyalaya S S,Chidambara Nagar Tuticorin...,"0461 322440 , 329888",CSEB
1585,Sri Ambal Vidhyalaya,"Ambal Nagar, Vilathikulam, Tamilnadu. S India...",04638 233 333,CSEB
1586,Atomic Energy Central School,Chettikulam P. O. Radha Puram Taluk...,"04637 258271 , 04637-258272",CSEB
1587,AVK International Residential School,"#188, Rajapalayam Main Road, Sankarankovil-62...","04636-222 315,222 415",CSEB
1588,Bharath Vidya Mandir,"#4, Courtallam Five Falls Bypass Ilanji Tenka...",04633223101,CSEB
1589,Dharani International School,Dharani Nagar Athuvazhi Post Sivagiri Taluk V...,04636-241582,CSEB
1590,Francis Xavier School,"103 G2, Bypass Road, Vannarpettai...",04622502282,CSEB
1591,Kanna International School,"Puliyangudi-Sankarankovil Main Road, Surangud...",+91 4636 200352 +91 4636 280452,CSEB
1592,Kenbridge School,"Survery #368/1, 
Arunachala, 
Meadows, 
Na...",0462 2300033,CSEB
1593,Kendriya Vidyalaya,Vijayanarayanam Naval Base P. O. Ins Kattabom...,"0462 331981 , 54259 41483",CSEB
1594,Pushpalata Vidya Mandir,"Sivanthipatti Road, Thiagaraja Nagar...",0462 2532822,CSEB
1595,Rose Mary Public School,"Tuticorin Main Road V. M. Chatram, Palayamkot...",04622520483,CSEB
1596,SH Shayamala's Central School,448 Main Road Kovilpatti ( Nellai )...,,CSEB
1597,Sri Parasakthi Vidyalaya,College Road Tenkasi Taluk Nellai District...,"04633 283133 , 627802",CSEB
1598,St.antonys Public School,"V. M. Chatram, Maharajanagar P. O...",0462-2522466,CSEB
1599,Svc Sai Niketan School,Svc Nagar Puliyangudi District...,04636234742,CSEB
1600,Vedic Vidyashram School,"#452/1 A, Madurai Road, Chatramputhukulam Vil...",0462 2325101,CSEB
1601,Vels Public School,"Vels Nagar Vadakkupur, Sankarankoil...",9842529999,CSEB
1602,All India Modern School (aims),"595/d, Arcot Road...",04182224711,CSEB
1603,Jeeva Velu Matriculation Higher Secondary Schools,"Cuddalore Road,Mathur
Tiruvannamalai, Tamil ...",+91 4175 294517,CSEB
1604,Kendriya Vidyalaya,"Kananthampoondi Ramanashram, Thiruvannamalai...",04175- 292777,CSEB
1605,Maharishi Vidya Mandir,58/3 : 4 Melathikkam Village...,"04175 294537 , 238842 238204",CSEB
1606,Skv International School,"Keeranur Village, Madhura Rajapalayam Post...",04175-9894083010,CSEB
1607,Sri Ramajayam Global School,"C. C. Road Pappampadi Village, Polur...",04181222822,CSEB
1608,The Path Global Public School,"Malappambadi Village, Thiruvannamalai...",04175249396,CSEB
1609,TVS Academy,"Adaiyur, District T, Tamilnadu...",04175-232400,CSEB
1610,Vignesh International School,"Melputhiyandal, Manalurpet Road, Tiruvannamal...",04175-294444,CSEB
1611,The Trinity Academy,"K. T. R. Estates, Bypass Road...","044 04366251252 , 8231803",CSEB
1612,A.K.T. Memorial Vidhya Saaket School,"Neelamangalam Village Kallakurichi-Post, Vill...",0415 200200,CSEB
1613,Mahabharathi International School,"Kallakurichi Bypass Road, Thenkeeranur Villag...",9994448099,CSEB
1614,Naahar Public School,"NH-45, Chennai Main Road, Ayyur Agaram...",04146251060,CSEB
1615,New Creation Bilingual School,New Creation Auroville 605101...,4132622358,CSEB
1616,New Era Secondary School,"Aspiration, Auroville 605101...","0161 4132622662 , 01612880530",CSEB
1617,Oxaliss International School,"Salem Chennai Main Road, Thatchur, Kallakuric...",04151-222288,CSEB
1618,Raja Desing Public School,"Kalaiyur & Post, Gingee Taluk, Villupuram...","04145-235440,235235",CSEB
1619,Shri Ram School,"Omandur Village, Tindivanam Taluk, Villupuram...",04147250340,CSEB
1620,Sri Dharani International School,"#1, Sri Dharani Nagar, Sirukadambur Village, ...",044 26425106,CSEB
1621,Sri Vidya Mandir Secondary School,Tirukoilur...,"04153 22470 , 22480",CSEB
1622,Tagore Senior Secondary School,58 Rottikara Street Tindivanam...,"04147 24023 , 22824",CSEB
1623,V.K.M. Vidhyalaya,V. K. M. Vidhyalaya Tindivanam-Pondy Highway ...,04147-291181,CSEB
1624,Arumugham Palaniguru Modern School,"360/4, Nathampatti Road...",04563257744,CSEB
1625,Chandra National School,"Chandra Nagar, 
Virudhunagar Main Road,
Per...","+91 4566 226000, 227000, 228000",CSEB
1626,Kendriya Vidyalaya,"Do #75-3, Ramamothy Road, Virudunagar, Tamiln...","04562 280028 , 268494",CSEB
1627,Kshatriya Vidya Sala(kvs) English Medium School,"Kooraikundu Vilage, Collectorate...",04562-252747,CSEB
1628,Lalitha Lal Bahadur Shastri Public School,"C/o. Kamaraj Children Educational Trust, 45 S...",04562-263204,CSEB
1629,Maharishi Vidya Mandir,"561, Chenbagathoppu Road, Rajapalayam, Virudh...",04563 226471,CSEB
1630,Maharishi Vidya Mandir,"#304, 305 Sri Andal Gardens, Mamsapuram Road,...",919442261285,CSEB
1631,P S Chidambara Nadar Senior English School,"North By Pass Road, Near Taluk Office, kamara...",+91 4562 245327,CSEB
1632,Ramco Vidyalaya,"Ramasamy Raja Nagar, Vachakarapatti Village, ...",04562256299,CSEB
1633,Sathya Vidyalaya,Pillaiyarkulam...,04563 203949,CSEB
1634,Sbk International School,Sbk College Road Aruppukottai Town Virudhnaga...,04566291407,CSEB
1635,Shrikarra Vidhya Mandhir,"Sivananainthapuram, Perayampatti, Post, Sattu...",8754001375,CSEB
1636,Sri Ramana Academy,"Ramana Nagar Kr Nagar-Post, Rajapalayam...",04563-235205,CSEB
1637,Jawahar Navodaya Vidyalaya,Balsa Mau Campus...,"02452 229966 , 227799",CSEB
1638,Podar International School,"Jintur Road, Near Uttamrao Deshmukh Pharmacy ...",02452 - 291014,CSEB
1639,Queen's School,Nandkhera Road...,"02452-222156,221828",CSEB
1640,Railway Mixed Higher School(english Medium),"Purna ( Junction ), Railway Colony, Pq, Purna...",09850702764,CSEB
1641,Scottish Academy,"Near Water Filter Plant, Vasmat Road Block #1...",25506105,CSEB
1642,Bal Bharati Public School,"Rgppl, Post Anjanwel, Taluk, Guhagar...",2359 241119,CSEB
1643,Jawahar Navodaya Vidyalaya,"At. Padve, Taluk Rajapur...","02358 82734 , 82734",CSEB
1644,Jindal Vidya Mandir,Jswel Township Zone-I Village Cheferi Post Ja...,02357-242531,CSEB
1645,Mane's International School,"At & P. O. - Khedashi, Gayalwadi...",02352 230056,CSEB
1646,Navnirman High English Medium School,"Navnirman High Campus D-63, Midc, Ratnagiri...",02352 228441,CSEB
1647,Royary English Medium School,At Post-Khed...,02356-260270,CSEB
1648,Saraswati Vidyamandir English Medium School,"At Jalgaon ( Pangarwadi ), Post & Taluka ...",02358-690165,CSEB
1649,Umme Khadija English Medium School,At & P. O. st Visapur Taluka Dapoli...,02358286327,CSEB
1650,Adarsh Public School,Adarsh Public School Kundal Road...,02347275302,CSEB
1651,Anandsagar Public School,"Manerajuri Road, Chinchani, Tasgaon...",02346-204122,CSEB
1652,Appasaheb Birnale Public School,Shinde Mala...,"0233 2313405 , 2313993 222936",CSEB
1653,Cambridge School,"795, Gulabrao Patil Educational Campus Near G...",02332212894,CSEB
1654,D.k.patil English Medium School,"Survey #308, Chichani, Tal. - Tasgaon...",02346-285200,CSEB
